Date,XDV,XCG,XIU,XMD,XCV,XCS,XMV,XIC,XIN,XSP
2016-11-21,0.010080047,0.012734694,0.011223429,0.012573778,0.012929179,0.016394043,0.007530851,0.011794536,0.005338165,0.007939534
2016-11-22,0.00083536,0.005797263,0.00356499,0.007881867,0.003207013,0.004990393,0.001427933,0.003761773,0.003543064,0.002369761
2016-11-23,0.00104622,-0.002042665,-0.000761606,-0.002896734,0,-0.004990393,0.001426403,-0.000417095,0.001766598,0.000788546
2016-11-24,0.000836549,-0.00170467,0.000448084,-0.000828811,0.000799732,0.004367946,-0.000712884,-0.000417678,-0.000882803,0.001575442
2016-11-25,0.002088315,0,0.000447883,-0.00083022,-0.004006745,-0.002493604,0.000712884,0,0.002646497,0.003535835
2016-11-28,-0.005857685,-0.001366214,-0.005388324,-0.002077342,-0.000401544,-0.005006273,-0.001069601,-0.005023016,-0.006186478,-0.006294393
2016-11-29,0.00376937,-0.002395178,-0.000900865,-0.000832253,-0.005234488,-0.006293242,0.002849128,0.000419473,0.002656187,0.001183116
2016-11-30,0.001670607,0.002395178,0.002699998,0.012822937,0.012437669,0.025554258,0.000710942,0.005855645,0.006169961,-0.001972767
2016-12-01,0.001668382,0,-0.003601676,0,-0.004395907,0.003685952,-0.007848807,-0.00376061,-0.008383162,-0.003957034
2016-12-02,0,-0.008236149,0.001802542,0.000411125,0.001601015,0.006112185,0.002504002,0.001255245,-0.001329862,0.000396361
2016-12-05,0.004987784,0.001377505,0.001799133,0.003690928,0.002794893,0.006680669,-0.001787842,0.002921908,0.006632803,0.0059278
2016-12-06,0.007435005,-0.001032676,0.003141307,0.000409253,0.002787153,0,0.003215775,0.002082255,0.010085601,0.00353958
2016-12-07,0.00982796,0.012324419,0.008920858,0.005304725,0.006341659,0.004228173,0.006756015,0.007872473,0.011711137,0.011709893
2016-12-08,0.010538891,0.000340264,0.003988405,0.002845027,0.005123291,0.006009848,0.00353715,0.003707434,0.00559016,0.00232542
2016-12-09,0.006030517,-0.000340264,0.001767332,-0.000812026,0.001570815,0.000599086,0.001058823,0.001232713,0.008964991,0.006559976
2016-12-12,-0.0044186,-0.005458902,-0.001767332,-0.001218947,0.001177051,0.001197032,0.001762008,-0.001644106,-0.007679274,-0.001154515
2016-12-13,0.003215251,0.009194783,0.007490563,0.005676904,0.008975525,0.003582144,0.007367091,0.006968721,0.0106499,0.00652452
2016-12-14,-0.005634456,-0.004757069,-0.011478968,-0.015485099,-0.012116467,-0.016827624,-0.009129099,-0.012330773,-0.004672156,-0.00806588
2016-12-15,0.003625939,0,0.003546016,-0.004940219,0.000393077,-0.003034657,0.001057411,0.001653191,0.007633529,0.004233215
2016-12-16,-0.001609321,-0.003753578,0.002209722,0.003707319,0.002355471,0.001821912,0.00316633,0.002062199,-0.001691154,-0.001537339
2016-12-19,0.000402587,0.003412551,0.001323439,0.000411008,0.001176227,-0.004256583,0.003156253,0.001235503,0.001268861,0.001921305
2016-12-20,0.001608999,0,0.000881411,0.004102053,-0.000783833,0.00060924,0.002797284,0.00164453,0.003375275,0.0034487
2016-12-21,0.000803394,0,-0.000440365,0.003269012,-0.000392394,0.004860088,0.001395631,0.000821704,-0.002108224,-0.002681418
2016-12-22,0.003207462,0.004419835,0.003958745,-0.00122461,0.002741508,-0.002427156,0.002089821,0.001640382,-0.000422189,-0.002304155
2016-12-23,-0.000399899,0,-0.001317841,0.001632717,0.002343707,0.001214411,0.002085586,0.000409776,0.001687687,0.001536873
2016-12-28,-0.002211709,0.002273724,0.001317841,0.005748095,-0.001413456,0.015344825,-0.001256099,0.002636185,-0.002898085,-0.005903779
2016-12-29,0.000402405,0,0.002630107,0.008903356,0.000785604,0.013694941,0.002092034,0.00369543,-0.002563915,-0.000389803
2016-12-30,-0.006054986,-0.001356905,-0.008795,-0.003632795,-0.005117144,-0.006526058,-0.003488869,-0.007817644,0.001282653,-0.003513481
2017-01-03,0.006457229,-0.00033944,0.007480838,-0.000404522,0.003938853,0.00711723,0,0.007817644,0.013582576,0.007403017
2017-01-04,0.010006139,0.008789714,0.007860206,0.00966203,0.009389496,0.011751183,0.006619064,0.006942819,0.005884825,0.005420226
2017-01-05,0.001591525,0.003360276,0.003473649,0.007185483,0.004274216,0.00524288,0.003119937,0.004061987,-0.001258058,-0.000386341
2017-01-06,-0.001591525,-0.005044546,-0.003908618,-0.008388161,0.000387944,-0.009340157,-0.004162015,-0.004876289,0.003769634,0.003855049
2017-01-09,-0.005591201,-0.004054106,-0.006111075,-0.010078516,-0.011696164,-0.008245077,-0.00487818,-0.006538746,-0.004189239,-0.003468709
2017-01-10,0.002000755,-0.000338632,0.002186851,0.002832381,0.001175718,0.003541798,0.00069803,0.00204807,0,0
2017-01-11,0.006771659,-0.000338486,0.005663393,0,0.003519176,0.002353938,0.002092034,0.003675959,0.002934388,0.002313837
2017-01-12,-0.0055735,-0.007480588,-0.003481314,-0.006079254,-0.0019537,-0.004123456,-0.003838497,-0.003675959,-0.002934388,-0.001542143
2017-01-13,0.002790152,0.001705022,0.004783602,0.00365177,0.003903003,0.004123456,0.002444623,0.004083549,0.002934388,0.001542143
2017-01-16,-0.002790152,0.003740787,-0.00173701,-0.001215698,-0.000779089,-0.002943367,0.00174249,-0.001223518,0,0.001539603
2017-01-17,-0.002798657,-0.00033944,-0.002175113,-0.000811506,-0.000390311,0.00646494,-0.001393799,-0.002041916,-0.013485367,-0.005012535
2017-01-18,-0.0032073,-0.004765042,-0.002180015,-0.00488164,-0.005474798,-0.012971948,0.001045182,-0.002046244,0.005922165,0.001930789
2017-01-19,0.0032073,0.003406018,0.001308536,0.00122254,0.002741195,0.00473657,-0.002440802,0.000409693,-0.003803085,-0.003091022
2017-01-20,0.011146717,0.005763742,0.009976337,0.004876112,0.007015011,0.005889228,0.007652268,0.008562497,0.002114499,0.003091022
2017-01-23,-0.004364248,-0.003725843,-0.004325573,-0.005283695,-0.002722202,-0.00411879,-0.003471195,-0.003660512,-0.00423358,-0.002317453
2017-01-24,0.013665264,0.002710941,0.00863241,0.011748411,0.006211072,0.009389986,0.00520206,0.008520804,0.004656193,0.006167967
2017-01-25,0.002749756,0,0.000858861,0.004420396,0.007710318,0.008723353,0.003108044,0.002017917,0.006733969,0.007657201
2017-01-26,0.000392603,0,-0.001719306,-0.001605195,-0.001922158,-0.009308235,-0.001725204,-0.001613949,0.002095205,-0.000763025
2017-01-27,-0.005111682,-0.001693472,-0.003014937,0.00080285,-0.004241352,0.000584882,-0.002075039,-0.002830817,-0.001256725,-0.00114561
2017-01-30,-0.008311985,-0.010221804,-0.009972012,-0.014958879,-0.010487561,-0.017679,-0.010088628,-0.010177505,-0.008417405,-0.005748565
2017-01-31,-0.005180247,-0.000342199,-0.00218102,-0.00122254,-0.003520554,0.003560779,0.000698968,-0.001637841,-0.006359955,-0.000384228
2017-02-01,0.000399603,0,0,0.006503947,0.002739246,0.007083994,-0.001748295,0.001228483,0.004667798,0
2017-02-02,-0.001998651,0.000684921,-0.00043684,0.002023687,-0.000390932,0.007034226,-0.001401204,-0.000409078,0.000423258,0.000768597
2017-02-03,0.005984753,0.003758645,0.004794026,0.003632795,0.00584687,0.004080374,0,0.004901985,0.003801479,0.006509806
2017-02-06,-0.001991439,-0.004786371,-0.002176167,0.001609993,-0.003894031,0,0.003848226,-0.00040759,-0.00804229,-0.001527923
2017-02-07,0.007148862,0.006149826,0.003913931,0.00080456,0.004282781,0,0.004181072,0.002036145,0.003394016,0
2017-02-08,0.004737234,-0.005464821,0.002601051,0.002809737,0.003102925,0.005800532,0.003124679,0.003654862,0.000846795,0.001146212
2017-02-09,0.001967511,0,0.004750334,0.005595301,0,0.003463664,0.002077382,0.00404526,0.008008641,0.005711111
2017-02-10,0.005878888,0.016978665,0.006013789,0.008730232,0.012699968,0.016576783,0.003797699,0.007240552,0.003771213,0.004167211
2017-02-13,0.002731618,0.001345837,0.002993439,0,0,-0.000567035,0.002752944,0.001602106,0.005838049,0.004902969
2017-02-14,0.002724645,0.004026677,0.0029844,0.002761931,0.004197556,0.002832027,0.000687124,0.002397896,0.000415692,0.003755243
2017-02-15,0.001940809,0.004677699,0.002550868,0.003147108,0.001522278,0.001130784,0.002743422,0.003586411,0.002490675,0.005233609
2017-02-16,-0.001164428,-0.004007848,0.0004246,0.003919748,0.00417357,0.003947169,0.004442015,0.001192489,-0.002490675,-0.000372885
2017-02-17,0,0.001003294,0,-0.004705745,0.000757296,-0.004512282,-0.002047644,-0.000794496,0.000830914,0.001490906
2017-02-21,0.001751764,0.001002766,0.003965342,0.004705745,0.000378267,0.005074434,0.002729382,0.003571597,0.005797101,0.006311343
2017-02-22,0.001165449,0.00831525,-0.004264488,-0.004705745,-0.003789455,-0.011312323,-0.002046408,-0.00396959,-0.000826012,-0.001110824
2017-02-23,-0.005061577,-0.005313813,-0.005141382,0.001178582,-0.00342272,-0.00284828,-0.000682974,-0.003586411,-0.001654269,0.000740859
2017-02-24,-0.012568573,-0.013409527,-0.015584836,-0.016228253,-0.016904209,-0.017261749,-0.011338485,-0.014880978,-0.005811588,0.000740191
2017-02-27,0.000395084,-0.003042203,0.003049702,-0.006405054,0.000387449,-0.021707626,0.000691003,-0.000404835,0.001663854,0.001847966
2017-02-28,-0.010725011,-0.001693823,-0.009615424,-0.000401853,-0.007775734,0,-0.005887616,-0.006914677,-0.002080189,-0.001847966
2017-03-01,0.011120203,0.008441527,0.010919272,0.014756223,0.011255551,0.018801896,0.007957238,0.012169982,0.018159806,0.013595475
2017-03-02,0,0,-0.001303848,-0.013150477,-0.000386103,-0.022962428,-0.000689656,-0.004040013,-0.002457017,-0.005489524
2017-03-03,0.001578576,-0.001009328,0.004773156,0.00520116,0.004238374,0.008303637,0,0.004040013,0.00081958,0
2017-03-06,0.003935258,0.002017564,0.003025974,-0.006405054,0.0019202,-0.007113074,0.001723085,0.001611495,-0.001640026,-0.002572109
2017-03-07,-0.000392756,0.000335828,-0.001295981,0,-0.0019202,-0.009563855,0.001031998,-0.001207851,-0.002876265,-0.003685876
2017-03-08,-0.003542502,-0.001344065,-0.005633746,-0.010090812,-0.008494496,-0.014519211,-0.002065428,-0.006875918,-0.000823388,-0.001478155
2017-03-09,0.001182089,-0.003030786,0.00130298,-0.006103992,0.000387944,-0.00182983,-0.001379339,0.000405919,0.0045201,0.000739331
